RAdeg,DEdeg,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass,GeneralClass
84.5842,-69.6257,-2.3660000000000005,-3.99,-4.591,,-10.931,-11.832,-12.222999999999999,-12.4417,-12.0378,-12.498,-12.6558,-13.4963,OAGB,DSS
84.6254,-69.1069,-0.791000000000001,-2.325000000000001,-3.283,-4.457,-4.948,-5.621,-5.731,,,,,,HII,Other
84.6416,-69.342,,-4.148,-4.249999999999999,-6.731000000000001,-8.309,-9.141,-10.012,-11.2388,-12.2302,-12.9525,-14.0924,,RSG,DSS
84.6437,-69.0989,,,,,-4.782,-5.833,-7.714,-9.755799999999999,-10.718699999999998,-11.6691,-12.724599999999999,,HII,Other
84.6653,-69.094,,,,,-2.6980000000000004,-3.6479999999999997,-5.215,-9.059199999999999,-10.466999999999999,-11.6052,-12.5117,,YSO,DSS
84.6957,-69.0838,,,,,,-5.26,-7.122999999999999,-9.702399999999999,-10.6751,-11.5073,-12.505299999999998,,HII,Other
84.7051,-69.4519,,,,,-11.120999999999999,-11.899999999999999,-12.129,-12.2712,-12.056899999999999,-12.1589,-12.187999999999999,-12.832699999999999,RSG,DSS
84.7072,-69.1119,-6.791999999999999,-5.927999999999999,-6.420000000000001,-6.715000000000001,-6.043999999999999,-6.091999999999999,-6.41,,,,,,HII,Other
84.7193,-69.0773,-2.5629999999999997,-1.4180000000000008,-2.895,-2.073000000000001,-3.453999999999999,-3.850999999999999,-5.093999999999999,,,,,,HII,Other
84.7244,-69.1587,-2.3149999999999986,-1.5720000000000007,-1.8249999999999997,-2.5260000000000002,-2.9559999999999995,-3.545,-4.417,-6.5816,-6.815999999999999,-8.7683,-10.4712,-16.1128,HII,Other
84.7431,-69.0764,-3.341,-2.481,-2.9789999999999996,-3.0209999999999995,-3.2159999999999993,-3.4349999999999987,-3.725999999999999,,,,,,HII,Other
84.7702,-69.4972,,,,,-2.4299999999999997,-3.4320000000000004,,-7.471599999999999,-8.1555,-9.084399999999999,-10.2704,-15.3454,HII,Other
84.8801,-70.2047,,,,,-2.1099999999999994,-3.5429999999999993,-5.154999999999999,-8.0521,-9.3772,-10.7144,-11.844999999999999,-16.834,YSO,DSS
84.8847,-69.5806,-0.800999999999999,-4.42,-5.4430000000000005,-7.904000000000001,-10.078,-10.913,-11.306,-11.6278,-11.4849,-11.7451,-12.064599999999999,-13.7236,RSG,DSS
84.9,-69.7678,-2.006999999999999,-1.0550000000000013,-1.6439999999999988,,-3.0890000000000004,-4.1129999999999995,-5.116,-7.2044999999999995,-7.681699999999999,-9.461,,-16.4112,HII,Other
84.9043,-69.7602,,,,,,-2.626999999999999,-4.395,-7.463899999999999,-8.8574,-10.286299999999999,-11.413499999999999,-17.5855,YSO,DSS
84.9126,-69.6532,-1.6400000000000012,-1.5570000000000002,-2.021999999999999,-2.613,-2.9559999999999995,-4.019,-5.074999999999999,,,,,,YSO,DSS
84.9132,-69.2985,,,,,-2.128,-3.301,-4.545999999999999,-6.512699999999999,-7.2133,-8.7683,-10.2417,-16.846799999999998,YSO,DSS
84.9215,-69.4881,,3.4010000000000016,2.478000000000001,1.5370000000000021,,-2.126999999999999,-3.7279999999999998,-6.654999999999999,-8.3418,-9.4797,-10.395299999999999,-14.767399999999999,YSO,DSS
84.9239,-69.77,,,,,-3.2279999999999998,-4.481999999999999,-6.363999999999999,-9.0733,-10.2972,-11.392399999999999,-12.467600000000001,-18.123,YSO,DSS
84.9239,-69.77,,,,,-3.2279999999999998,-4.481999999999999,-6.363999999999999,-9.0733,-10.2972,-11.392399999999999,-12.467600000000001,-18.123,YSO,DSS
84.9333,-69.6428,,,,,-4.3469999999999995,-4.484999999999999,-5.618,-8.9567,-11.0516,-12.6921,-13.8307,,YSO,DSS
84.9369,-69.9217,,,,,-4.176,-6.779999999999999,-8.731,-11.151599999999998,-11.8021,-12.479099999999999,-13.4886,-16.2693,OAGB,DSS
84.9382,-69.7473,-3.056,-2.078999999999999,-2.5949999999999993,-3.931999999999999,-3.83,-4.113999999999999,-4.709,,,,,-17.2902,YSO,DSS
84.9414,-69.6442,-6.559,-6.702999999999999,-7.3500000000000005,-7.175,-6.115,-6.429,-7.562999999999999,,-11.416699999999999,-11.0034,,,HII,Other
84.966,-70.0214,,2.516,1.1200000000000006,-0.01899999999999881,,,-4.311999999999999,-8.2547,-9.6116,-10.684,-11.6723,-13.5119,CAGB,DSS
84.9933,-71.1682,,,,,,,-4.632999999999999,-7.6409,-9.1291,-10.291,-11.3616,-16.3812,YSO,DSS
84.9939,-71.1706,,1.0559999999999994,-1.0079999999999996,-1.549,-2.718,-3.5039999999999996,-4.529999999999999,-6.7501999999999995,-8.1747,-9.4173,-10.8291,-16.7665,YSO,DSS
84.9969,-69.7568,,,,,-2.064,-4.555,-6.677,-9.2326,-10.094199999999999,-10.810199999999998,-11.756599999999999,,HII,Other
84.9969,-69.7568,,,,,-2.064,-4.555,-6.677,-9.2326,-10.094199999999999,-10.810199999999998,-11.756599999999999,,HII,Other
