,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass
89,0.2584570326256759,-0.3929999999999987,-2.5979999999999994,-4.736999999999999,-6.352999999999999,-7.223999999999999,-7.693,-8.1899,-8.371599999999999,-8.642999999999999,-8.9721,-9.5503,CAGB
90,-2.9419999999999997,-3.628,-5.21,-6.107647920744103,-6.1061190634750915,-7.426025133488822,-8.770327808187819,-10.922,-10.8737,-11.1672,-11.624,-13.7513,RSG
91,0.3869999999999997,1.0009999999999997,-0.0269999999999979,-0.8269999999999986,-1.8530000000000009,-2.543999999999998,-3.322999999999999,-5.532299999999999,-6.356499999999999,-7.779299999999999,-9.5839,-13.7637,YSO
92,0.1229999999999977,-1.5379999999999998,-3.934,-6.4540000000000015,-8.036000000000001,-8.897,-9.054516595944705,-9.467,-9.398,-9.544,-9.658,-9.959,OAGB
93,0.919713331571939,0.3654761832101674,-0.6402271791147274,-1.588289001398318,-3.102999999999999,-5.204,-7.023,-9.4968,-10.1679,-10.7671,-11.4404,-12.5976,CAGB
94,-2.3200000000000003,-1.419,-2.598,-2.294,-2.725999999999999,-3.2270000000000008,-3.6510000000000007,-5.828000000000001,-5.866000000000001,-8.418000000000001,-10.222,-16.286,YSO
95,0.6739999999999988,-2.104000000000001,-4.867999999999999,-6.116642756028476,-6.2637882655395005,-8.173052698002408,-9.589159981991823,-12.148,-12.1741,-12.4798,-13.0452,-14.753699999999998,RSG
96,-2.8660000000000005,-2.7479999999999998,-3.3080000000000003,-3.697,-3.931893457465157,-4.327224759697183,-5.019127692877457,-7.196999999999999,-8.1389,-9.6936,-11.7291,-15.4809,PAGB
97,1.3977407690536938,0.7016895465452591,-0.007743384734458791,-0.5153627296723702,-2.062999999999998,-4.493999999999999,-6.492999999999999,-9.3618,-10.2338,-10.9164,-11.6265,-12.8686,CAGB
98,-0.6815837892787138,0.30596484583162487,-0.10462830182262262,0.5815170467873256,-0.4611158510277442,-2.653999999999999,-5.462999999999999,-9.4421,-10.7286,-11.7859,-12.7587,-14.4791,CAGB
99,0.7042403949232816,0.7660000000000002,-0.4450000000000007,-1.5180000000000011,-1.833000000000001,-2.764,-3.793,-6.610299999999999,-6.7697,-9.241,-10.9751,-16.188499999999998,YSO
100,-1.755170678175253,-0.38646949543741793,-0.5241814556807172,-0.08006869764754354,-0.2229999999999981,-1.0739999999999992,-2.3529999999999984,-4.884,-6.179,-7.417199999999999,-8.817499999999999,-15.3982,YSO
101,-0.954311338448687,-2.1689999999999987,-2.4450000000000007,-3.3973298335707662,-3.2030000000000003,-3.743999999999999,-3.773,-6.770899999999999,-7.2659,-9.6536,-11.360125796354822,-16.6711,YSO
102,-1.6400000000000012,-1.5570000000000002,-2.021999999999999,-2.613,-2.083000000000001,-2.7139999999999995,-3.443,-6.6757360103131855,-7.834334447059302,-9.711605670926645,-11.284043423045988,-16.339266645906488,YSO
103,1.1850324615770673,0.9872242390762678,0.6579704393108146,0.9440977594517115,-0.4630000000000001,-3.104,-5.572999999999999,-9.2853,-10.4881,-11.483899999999998,-12.388,-14.0196,CAGB
104,-5.300000000000001,-5.165000000000001,-5.062,-5.396000000000002,-5.966000000000001,-6.377000000000002,-7.171,-8.991000000000001,-9.756,-10.361,-11.423000000000002,-13.681,PAGB
105,3.548000000000001,-3.2680000000000007,-0.4629999999999978,-6.154000000000001,-8.393,-9.931520417259243,-8.785948130730233,-10.1688,-10.3676,-10.5692,-10.8492,-12.3283,OAGB
106,-2.3660000000000005,-3.99,-4.591,-6.094377258774264,-6.5598255550698665,-8.41782968362265,-9.844921832465047,-12.4417,-12.0378,-12.498,-12.6558,-13.4963,OAGB
107,-1.8319999999999976,-3.638,-5.7700000000000005,-8.152999999999999,-7.891752959059681,-8.877731161885034,-9.49339346291676,-11.2449,-11.1239,-11.391,-11.6626,-13.5485,RSG
108,-2.6670000000000016,-1.8120000000000007,-2.9110000000000023,-3.766000000000001,-4.436,-4.727000000000001,-5.2810000000000015,-6.693000000000001,-7.41,-8.593,-10.761,-15.547,YSO
109,-0.7267696442615859,0.1039999999999995,-0.503000000000001,-1.641000000000001,-2.6560000000000024,-3.457000000000001,-4.761,-7.442,-8.592,-9.731000000000002,-10.990000000000002,-14.991,YSO
110,0.7527891431343945,0.9225301158099619,-0.7522526501495015,-3.7899336506402146,-6.1960000000000015,-7.657000000000001,-8.891,-10.045000000000002,-10.732,-11.308,-11.86,-12.552,CAGB
111,-1.0408054486739435,-0.3522207366002632,-0.32578409429287447,-0.425022559240154,-0.8360000000000023,-1.9970000000000003,-3.281000000000001,-6.476000000000001,-8.187000000000001,-9.204,-10.216,-15.033,YSO
112,0.4274347041318438,0.546999999999999,0.0180000000000002,0.05200820728117117,-0.7130000000000002,-2.4090644679217075,-4.462999999999999,-8.5636,-9.9459,-11.1031,-12.1411,-14.110399999999998,CAGB
113,2.804000000000001,1.6809999999999994,1.2789999999999997,-3.696,-5.883,-6.624,-7.062999999999999,-7.6158,-7.7348,-7.9518,-8.1648,-8.882299999999999,OAGB
114,-2.3271187001361313,-2.8770000000000007,-4.758,-8.040999999999999,-9.943,-10.56126105466064,-10.876889906341702,-11.7359,-12.0921,-12.4315,-12.9798,-15.4198,RSG
115,-3.224646957074875,-2.4472157984808174,-2.8537147637522398,-3.123519355188016,-2.653,-3.0939999999999985,-4.212999999999999,-7.507999999999999,-8.5359,-10.0919,-11.7574,-18.3195,YSO
116,0.4319467346714183,-0.28875159757390256,-1.8959190171072806,-4.182896188167245,-5.806000000000001,-7.197000000000002,-8.321,-9.775,-10.109,-10.382,-10.774,-10.979,CAGB
117,0.8180080218390091,0.7696530800399446,-0.5180141260123501,-2.3901411622097632,-4.296000000000001,-6.167000000000001,-7.771000000000002,-9.713,-10.403,-11.089,-11.652,-12.891000000000002,CAGB
118,-4.746999999999999,-4.327999999999999,-4.4590000000000005,-4.73,-4.832999999999999,-5.274,-6.263,-8.4109,-9.1935,-9.9191,-11.032699999999998,-13.8089,YSO
