RAdeg,DEdeg,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass,GeneralClass
80.257,-69.2381,1.5010000000000012,-0.6170000000000009,-2.3309999999999995,-5.148,-6.82,-7.6899999999999995,,-8.288,-8.1809,-8.4025,-9.094299999999999,-11.1101,OAGB,DSS
80.5288,-71.8383,1.0250000000000021,-0.06099999999999994,-1.782,-4.687999999999999,-6.109999999999999,-6.93,-7.24,-7.5168,-7.563599999999999,-7.784599999999999,-8.841999999999999,-10.8154,OAGB,DSS
80.5956,-68.6836,-0.37900000000000134,0.9600000000000009,0.15899999999999892,-0.29299999999999926,-2.75,-3.5599999999999987,-4.709999999999999,-6.6454,-7.2448,-8.559899999999999,-10.0863,-13.5999,YSO,DSS
80.675,-69.2572,,2.7510000000000012,1.6649999999999991,-0.6690000000000005,-4.049999999999999,-5.76,-7.299999999999999,-8.818,-9.5847,-10.191699999999999,-10.753799999999998,-11.6916,CAGB,DSS
80.729,-69.6145,,-0.20899999999999963,-1.6789999999999985,-4.317,-5.6899999999999995,-6.49,-6.85,-7.3384,-7.4483,-7.6753,-8.1623,-10.012,OAGB,DSS
80.9631,-68.1201,,0.9059999999999988,-1.8629999999999995,,-4.969999999999999,-5.43,-6.73,-8.278599999999999,-9.1907,-9.930399999999999,-10.8707,-16.6174,YSO,DSS
80.9747,-71.5789,,,,,0.010000000000001563,-2.629999999999999,-5.369999999999999,-8.7468,-9.873199999999999,-10.7881,-11.6837,-15.227,YSO,DSS
81.022,-68.3006,,,,,-4.789999999999999,-6.26,-7.49,-8.9462,-9.3896,-9.803799999999999,-10.2393,-10.9218,CAGB,DSS
81.189,-69.2682,,2.5779999999999994,-0.9710000000000001,-4.017999999999999,-5.1,-6.49,,-9.4642,-9.956199999999999,-10.3982,-10.6828,-11.4693,CAGB,DSS
81.2411,-67.4162,-4.182,-3.7460000000000004,-3.847999999999999,-4.183999999999999,-4.609999999999999,-5.1899999999999995,-6.059999999999999,-7.520199999999999,-8.0829,-8.5415,-9.1557,-10.8672,YSO,DSS
81.4439,-66.2365,,,,,-0.7100000000000009,-2.5999999999999996,-5.17,-8.594999999999999,-9.7653,-10.622699999999998,-11.6369,-15.632,YSO,DSS
81.5557,-68.7876,1.774000000000001,0.7690000000000019,-0.6069999999999993,-1.3309999999999995,-2.75,-3.34,-4.1899999999999995,-6.1389,-6.9323999999999995,-8.318,-10.3375,-14.8398,YSO,DSS
81.5838,-69.6507,2.8099999999999987,1.1730000000000018,-0.8790000000000013,-4.304,-6.369999999999999,-7.219999999999999,-7.559999999999999,-7.8734,-7.7036999999999995,-7.9803,-8.300099999999999,-10.220699999999999,OAGB,DSS
81.6134,-66.7163,-2.8520000000000003,-2.9909999999999997,-3.828999999999999,-4.506,-4.809999999999999,-5.1899999999999995,-5.51,-7.368699999999999,-8.2325,-9.0282,-9.997,-11.9987,PAGB,DSS
